1,No. runs,Number of simulation replicates
14235,Max time,Maximum simulated time (in days)
9401,Num patches,Number of population sites chosen for the simulation
0.05,Mu_j,Juvenile density independent mortality rate per day
0.125,Mu_a,Adult mortality rate per day (for males; for females this is over-ridden if there is a female mortality input file)
100,Beta,Parameter that controls mating rate
9,Theta,Average egg laying rate of wildtype adult females (eggs per day)
0.0667,Comp power,Parameter that controls the juvenile survival probability
10,Min dev,Minimum development time for a juvenile (in days)
0.025,Gamma,Rate of r2 allele formation from W/D meiosis
0.2,Xi,Somatic Cas9 expression fitness cost
0.95,Homing rate,Homing rate in males and females
12925,Driver start,Time to start releasing drive alleles into the mosquito population (over-ridden if there is a release times input file)
20000,Num driver m,Number of drive heterozygous (WD) adult male mosquitoes per release
1,Num driver sites,Number of gene drive release sites per year (over-ridden if there are release sites specified in the site coordinates input file)
0.005,Disp rate,Adult dispersal rate (probability to disperse per individual per day)
0.0454545454545455,Max disp,Maximum dispersal distance at which two sites are connected (in degrees)
0,psi,Aestivation rate
0.9,mu_aes,Aestivation mortality rate
300,t_hide1,Start day of aestivation-hiding period (exclusive)
350,t_hide2,End day of aestivation-hiding period (inclusive)
140,t_wake1,Start day of aestivation-waking period (exclusive)
170,t_wake2,End day of aestivation-waking period (inclusive)
3.621147129,alpha0_mean,Mean of the baseline contribution to the carrying capacity
0,alpha0_variance,Variance of the baseline contribution to the carrying capacity
120.7049043,alpha1,Rainfall contribution factor to carrying capacity.
0,amp,Amplitude of rainfall fluctuations (over-ridden if there is a rainfall input file)
1,resp,Carrying capacity’s responsiveness to rainfall contribution
10,rec start,Start time for the data recording window (inclusive)
14235,rec end,End time for the data recording window (inclusive). 
1,rec int global,Time interval for global data recording/output. 
1,rec int local,Time interval at which to collect/record local data (in days). 
1,req sites freq,"Fraction of sites to collect local data for (1 is all sites, 10 is 1 in 10 etc). "
13301,set label,'Set of repetitions’ index label for output files.
e,Boundary type,"'e’ sets ‘edge’ boundaries (no opposite-edge connectivity), or ‘t’ sets ‘toroidal’ boundaries (edge sites are connected across opposite sides of the simulation area)"
r,Dispersal type,'r’ sets radial dispersal assumptions (connectivity between sites depends on site configuration as well as distance) or ‘d’ sets distance dispersal (connectivity only depends on distance)
12046,Simulation start,Day number the simulation starts
CC_Set_24_2_disp3.txt,Coordinates,Input file for coordinates and their attributes
RainDailyAvAv.csv,Rainfall,input file for rainfall
Rellist.csv,Release dates,input file for release dates
gamb_mortality_Jan26.csv,Adult female mortality,input file for adult female daily mortality
3,output type,"For determining which sites to output local data for: 0= all sites, 3 = only control and release sites"
